Suburb,Rooms,Type,Price,Method,Postcode,Propertycount,Distance,CouncilArea
Prahran,1,h,1475000,S,3181,7717,4.6,Stonnington City Council
Prahran,2,u,,SP,3181,7717,4.6,Stonnington City Council
Prahran,3,u,920000,S,3181,7717,4.6,Stonnington City Council
Prahran,3,h,,PI,3181,7717,4.6,Stonnington City Council
Prahran,3,h,1650000,S,3181,7717,4.6,Stonnington City Council
Prahran,2,u,845000,S,3181,7717,4.6,Stonnington City Council
Preston,3,u,540000,VB,3072,14577,8.4,Darebin City Council
Preston,2,h,950000,S,3072,14577,8.4,Darebin City Council
Preston,3,h,1072500,S,3072,14577,8.4,Darebin City Council
Preston,3,t,800000,VB,3072,14577,8.4,Darebin City Council
Preston,3,h,,VB,3072,14577,8.4,Darebin City Council
Preston,3,h,920000,SP,3072,14577,8.4,Darebin City Council
Preston,3,h,947500,S,3072,14577,8.4,Darebin City Council
Reservoir,4,h,,PI,3073,21650,12,Darebin City Council
Reservoir,3,h,750000,VB,3073,21650,12,Darebin City Council
Reservoir,3,h,755000,S,3073,21650,12,Darebin City Council
Reservoir,3,h,,SN,3073,21650,12,Darebin City Council
Reservoir,3,h,889000,SP,3073,21650,12,Darebin City Council
Reservoir,2,h,680000,S,3073,21650,12,Darebin City Council
Reservoir,3,h,990000,S,3073,21650,12,Darebin City Council
Reservoir,2,t,550000,PI,3073,21650,12,Darebin City Council
Reservoir,4,h,1250000,SP,3073,21650,12,Darebin City Council
Reservoir,2,t,580000,S,3073,21650,12,Darebin City Council
Reservoir,2,u,583500,S,3073,21650,12,Darebin City Council
Reservoir,3,h,870000,SP,3073,21650,12,Darebin City Council
Reservoir,3,h,,PI,3073,21650,12,Darebin City Council
Richmond,3,h,1400000,PI,3121,14949,2.4,Yarra City Council
Richmond,3,h,1525000,VB,3121,14949,2.4,Yarra City Council
Richmond,3,h,,S,3121,14949,2.4,Yarra City Council
Richmond,2,h,1200000,SP,3121,14949,2.4,Yarra City Council
Richmond,3,h,1200000,S,3121,14949,2.4,Yarra City Council
Richmond,1,u,415000,SA,3121,14949,2.4,Yarra City Council
Richmond,1,u,,PI,3121,14949,2.4,Yarra City Council
Richmond,3,t,1321000,S,3121,14949,2.4,Yarra City Council
Richmond,2,u,592000,SA,3121,14949,2.4,Yarra City Council
Ringwood,2,h,1040000,S,3134,7785,19.9,Maroondah City Council
Ringwood,2,h,,SN,3134,7785,19.9,Maroondah City Council
Ringwood East,4,h,800000,PI,3135,4407,21.3,Maroondah City Council
Ringwood East,2,u,,SN,3135,4407,21.3,Maroondah City Council
Ringwood East,4,h,1315000,S,3135,4407,21.3,Maroondah City Council
Ringwood North,4,h,1050000,S,3134,3619,19.9,Manningham City Council
Rosanna,4,h,1800000,VB,3084,3540,8.9,Banyule City Council
Rowville,3,h,725000,S,3178,11667,23.5,Knox City Council
Roxburgh Park,3,h,580500,S,3064,5833,20.6,Hume City Council
Roxburgh Park,3,h,440000,S,3064,5833,20.6,Hume City Council
Roxburgh Park,3,h,580000,S,3064,5833,20.6,Hume City Council
Roxburgh Park,4,h,510000,S,3064,5833,20.6,Hume City Council
Sandringham,4,h,2700000,S,3191,4497,15.2,Bayside City Council
Sandringham,5,h,2290000,S,3191,4497,15.2,Bayside City Council
Sandringham,5,h,2220000,S,3191,4497,15.2,Bayside City Council
Sandringham,3,h,1725000,S,3191,4497,15.2,Bayside City Council
Seaford,3,h,770000,S,3198,8077,35.4,Frankston City Council
Seddon,3,h,1228000,S,3011,2417,5.1,Maribyrnong City Council
South Kingsville,3,h,1124000,S,3015,984,6.2,Hobsons Bay City Council
South Melbourne,2,h,1355000,S,3205,5943,1.9,Port Phillip City Council
South Melbourne,3,h,1210000,PI,3205,5943,1.9,Port Phillip City Council
South Melbourne,2,h,1180000,S,3205,5943,1.9,Port Phillip City Council
South Melbourne,2,u,655000,S,3205,5943,1.9,Port Phillip City Council
South Melbourne,3,u,1500000,VB,3205,5943,1.9,Port Phillip City Council
South Melbourne,2,h,970000,VB,3205,5943,1.9,Port Phillip City Council
South Morang,4,h,780000,S,3752,7969,20.5,Whittlesea City Council
South Morang,4,h,,PI,3752,7969,20.5,Whittlesea City Council
South Morang,3,h,,PI,3752,7969,20.5,Whittlesea City Council
South Morang,4,h,,PI,3752,7969,20.5,Whittlesea City Council
South Morang,3,h,540000,S,3752,7969,20.5,Whittlesea City Council
South Yarra,1,u,442000,S,3141,14887,2.7,Melbourne City Council
South Yarra,1,u,370000,VB,3141,14887,2.7,Melbourne City Council
South Yarra,3,h,1360000,S,3141,14887,2.7,Melbourne City Council
South Yarra,3,h,,S,3141,14887,2.7,Melbourne City Council
South Yarra,2,u,,S,3141,14887,2.7,Melbourne City Council
South Yarra,1,u,,S,3141,14887,2.7,Melbourne City Council
South Yarra,2,u,515000,S,3141,14887,2.7,Melbourne City Council
South Yarra,2,h,1460000,S,3141,14887,2.7,Melbourne City Council
Southbank,2,u,523500,S,3006,8400,0.7,Melbourne City Council
Southbank,1,u,420000,S,3006,8400,0.7,Melbourne City Council
Springvale,3,h,770000,S,3171,7412,20.8,Greater Dandenong City Council
Springvale,3,h,730000,VB,3171,7412,20.8,Greater Dandenong City Council
St Kilda,2,u,462500,S,3182,13240,5,Port Phillip City Council
St Kilda,2,u,711000,S,3182,13240,5,Port Phillip City Council
St Kilda,2,u,,SN,3182,13240,5,Port Phillip City Council
St Kilda,2,u,630000,SP,3182,13240,5,Port Phillip City Council
Strathmore,3,u,815000,S,3041,3284,8.2,Moonee Valley City Council
Sunbury,4,h,520000,S,3429,14092,31.7,Hume City Council
Sunbury,3,h,388000,S,3429,14092,31.7,Hume City Council
Sunbury,3,h,493000,S,3429,14092,31.7,Hume City Council
Sunbury,2,h,510000,S,3429,14092,31.7,Hume City Council
Sunbury,3,h,498500,S,3429,14092,31.7,Hume City Council
Sunbury,5,h,,VB,3429,14092,31.7,Hume City Council
Sunshine,2,h,,SN,3020,3755,10.5,Brimbank City Council
Sunshine,3,h,680000,VB,3020,3755,10.5,Brimbank City Council
Sunshine North,3,h,770000,S,3020,4217,10.5,Brimbank City Council
Sunshine North,2,u,355000,S,3020,4217,10.5,Brimbank City Council
Sunshine West,3,h,,SN,3020,6763,10.5,Brimbank City Council
Surrey Hills,3,h,1571000,S,3127,5457,10.2,Boroondara City Council
Surrey Hills,4,h,,VB,3127,5457,10.2,Boroondara City Council
Surrey Hills,5,h,3625000,S,3127,5457,10.2,Boroondara City Council
Surrey Hills,4,h,1815000,S,3127,5457,10.2,Boroondara City Council
Surrey Hills,3,h,,S,3127,5457,10.2,Boroondara City Council
Surrey Hills,5,h,,VB,3127,5457,10.2,Boroondara City Council
Sydenham,4,h,580000,S,3037,3640,18,Brimbank City Council
Tarneit,4,h,,PI,3029,10160,18.4,Wyndham City Council
Taylors Hill,4,h,840000,PI,3037,4242,18,Melton City Council
Taylors Lakes,4,h,762000,S,3038,5336,15.5,Brimbank City Council
Taylors Lakes,4,h,760000,S,3038,5336,15.5,Brimbank City Council
Templestowe,3,t,1065000,S,3106,6202,15.5,Manningham City Council
Templestowe,2,u,,SP,3106,6202,15.5,Manningham City Council
Templestowe Lower,4,h,1585000,S,3107,5420,12.4,Manningham City Council
Thomastown,2,u,448000,SP,3074,7955,15.3,Whittlesea City Council
Thomastown,6,h,931000,S,3074,7955,15.3,Whittlesea City Council
Thomastown,2,u,467000,S,3074,7955,15.3,Whittlesea City Council
Thornbury,2,h,800000,S,3071,8870,7,Darebin City Council
Thornbury,4,h,1530000,PI,3071,8870,7,Darebin City Council
Thornbury,2,h,1545000,S,3071,8870,7,Darebin City Council
Thornbury,3,u,,VB,3071,8870,7,Darebin City Council
Toorak,5,h,,SP,3142,7217,4.1,Stonnington City Council
Toorak,1,u,541000,SP,3142,7217,4.1,Stonnington City Council
Toorak,2,u,551000,S,3142,7217,4.1,Stonnington City Council
Toorak,3,u,,S,3142,7217,4.1,Stonnington City Council
Toorak,1,u,425000,S,3142,7217,4.1,Stonnington City Council
Truganina,3,u,,SN,3029,5811,18.4,Melton City Council
Tullamarine,2,t,515000,S,3043,3296,12.9,Brimbank City Council
Tullamarine,3,t,545000,S,3043,3296,12.9,Brimbank City Council
Vermont,5,h,,SN,3133,4181,17.2,Maroondah City Council
Vermont,2,u,580000,S,3133,4181,17.2,Maroondah City Council
Vermont South,5,h,,SN,3133,4280,17.2,Whitehorse City Council
Wantirna,3,h,900000,S,3152,5424,14.7,Knox City Council
Wantirna,4,h,925000,S,3152,5424,14.7,Knox City Council
Wantirna South,6,h,1155000,S,3152,7082,14.7,Knox City Council
Waterways,4,h,1232000,SP,3195,709,21.5,Kingston City Council
Watsonia,3,u,540000,S,3087,2329,14.5,Banyule City Council
Werribee,4,h,,PI,3030,16166,14.7,Wyndham City Council
Werribee,3,h,471000,S,3030,16166,14.7,Wyndham City Council
Werribee,3,h,595000,S,3030,16166,14.7,Wyndham City Council
Werribee,4,h,621000,S,3030,16166,14.7,Wyndham City Council
West Footscray,1,u,208000,S,3012,5058,6.4,Maribyrnong City Council
West Footscray,2,u,360000,VB,3012,5058,6.4,Maribyrnong City Council
West Melbourne,3,h,2430000,S,3003,2230,3.1,Melbourne City Council
West Melbourne,4,h,1725000,S,3003,2230,3.1,Melbourne City Council
Westmeadows,3,h,616000,S,3049,2474,16.5,Hume City Council
Wheelers Hill,4,h,,PI,3150,7392,16.7,Monash City Council
Williamstown,3,h,1080000,SP,3016,6380,6.8,Hobsons Bay City Council
Williamstown,3,h,1470000,S,3016,6380,6.8,Hobsons Bay City Council
Williamstown,3,h,,PI,3016,6380,6.8,Hobsons Bay City Council
Windsor,3,h,1400000,PI,3181,4380,4.6,Port Phillip City Council
Windsor,2,u,810000,S,3181,4380,4.6,Port Phillip City Council
Wollert,4,h,592000,S,3750,2940,25.5,Whittlesea City Council
Wollert,3,t,420000,S,3750,2940,25.5,Whittlesea City Council
Wollert,4,h,730000,PI,3750,2940,25.5,Whittlesea City Council
Yarraville,3,h,826000,SP,3013,6543,6.3,Maribyrnong City Council
Yarraville,4,h,800000,VB,3013,6543,6.3,Maribyrnong City Council
Yarraville,3,t,810000,PI,3013,6543,6.3,Maribyrnong City Council
Yarraville,3,h,1100000,VB,3013,6543,6.3,Maribyrnong City Council
Abbotsford,3,h,,S,3067,4019,3,Yarra City Council
Abbotsford,3,h,,PI,3067,4019,3,Yarra City Council
Abbotsford,2,h,,W,3067,4019,3,Yarra City Council
Abbotsford,2,h,970000,S,3067,4019,3,Yarra City Council
Abbotsford,2,h,,PI,3067,4019,3,Yarra City Council
Abbotsford,3,h,,SP,3067,4019,3,Yarra City Council
Abbotsford,4,u,,SP,3067,4019,3,Yarra City Council
Aberfeldie,1,u,270000,VB,3040,1543,7.5,Moonee Valley City Council
Aberfeldie,2,h,1375000,S,3040,1543,7.5,Moonee Valley City Council
Airport West,3,h,776000,S,3042,3464,10.4,Moonee Valley City Council
Airport West,4,h,1220000,S,3042,3464,10.4,Moonee Valley City Council
Airport West,3,h,943000,S,3042,3464,10.4,Moonee Valley City Council
Airport West,2,t,590000,S,3042,3464,10.4,Moonee Valley City Council
Albert Park,3,h,,S,3206,3280,3,Port Phillip City Council
Altona,2,u,,PN,3018,5301,11,Hobsons Bay City Council
Altona,2,u,510000,SP,3018,5301,11,Hobsons Bay City Council
Altona Meadows,3,h,,PI,3028,7630,15.5,Hobsons Bay City Council
Altona Meadows,3,h,,PI,3028,7630,15.5,Hobsons Bay City Council
Altona North,4,t,900000,PI,3025,5132,9.4,Hobsons Bay City Council
Altona North,3,u,687000,S,3025,5132,9.4,Hobsons Bay City Council
Altona North,3,h,835000,S,3025,5132,9.4,Hobsons Bay City Council
Altona North,3,h,860000,S,3025,5132,9.4,Hobsons Bay City Council
Altona North,3,h,855000,S,3025,5132,9.4,Hobsons Bay City Council
Altona North,3,h,1100000,S,3025,5132,9.4,Hobsons Bay City Council
Altona North,3,u,635000,S,3025,5132,9.4,Hobsons Bay City Council
Altona North,2,u,601000,S,3025,5132,9.4,Hobsons Bay City Council
Ardeer,2,h,475000,SP,3022,1281,12.8,Brimbank City Council
Ardeer,4,h,740000,S,3022,1281,12.8,Brimbank City Council
Ardeer,4,h,620000,PI,3022,1281,12.8,Brimbank City Council
Ardeer,3,h,615000,S,3022,1281,12.8,Brimbank City Council
Armadale,2,u,540000,PI,3143,4836,6.3,Stonnington City Council
Armadale,3,h,,S,3143,4836,6.3,Stonnington City Council
Ascot Vale,1,u,,VB,3032,6567,4.3,Moonee Valley City Council
Ascot Vale,4,h,1800000,PI,3032,6567,4.3,Moonee Valley City Council
Ascot Vale,4,h,1400000,S,3032,6567,4.3,Moonee Valley City Council
Ascot Vale,4,h,1135000,S,3032,6567,4.3,Moonee Valley City Council
Ascot Vale,3,h,1513000,S,3032,6567,4.3,Moonee Valley City Council
Ashburton,5,h,1930000,S,3147,3052,10.2,Boroondara City Council
Ashburton,4,h,2350000,SP,3147,3052,10.2,Boroondara City Council
Ashwood,4,h,1360000,PI,3147,2894,10.2,Monash City Council
Ashwood,3,h,1350000,S,3147,2894,10.2,Monash City Council
Ashwood,4,t,1310000,S,3147,2894,10.2,Monash City Council
Ashwood,3,t,945000,S,3147,2894,10.2,Monash City Council
Ashwood,4,h,,S,3147,2894,10.2,Monash City Council
Aspendale,3,h,1070000,S,3195,2824,21.5,Kingston City Council
Aspendale,2,h,770000,VB,3195,2824,21.5,Kingston City Council
Aspendale,5,h,1300000,PI,3195,2824,21.5,Kingston City Council
Aspendale Gardens,4,h,867500,S,3195,2243,21.5,Kingston City Council
Attwood,4,h,820000,VB,3049,1130,16.5,Hume City Council
Attwood,4,h,915000,SP,3049,1130,16.5,Hume City Council
Avondale Heights,4,h,970000,SP,3034,4502,9.5,Moonee Valley City Council
Avondale Heights,3,t,970000,SP,3034,4502,9.5,Moonee Valley City Council
Avondale Heights,4,h,790000,S,3034,4502,9.5,Moonee Valley City Council
Avondale Heights,3,h,760000,S,3034,4502,9.5,Moonee Valley City Council
Avondale Heights,3,h,1061000,SP,3034,4502,9.5,Moonee Valley City Council
Balaclava,2,u,688500,S,3183,2952,6.4,Port Phillip City Council
Balaclava,2,h,1170000,SP,3183,2952,6.4,Port Phillip City Council
Balaclava,2,u,495000,SP,3183,2952,6.4,Port Phillip City Council
Balwyn,3,u,,SP,3103,5682,7.9,Boroondara City Council
Balwyn,4,h,,SP,3103,5682,7.9,Boroondara City Council
Balwyn,4,h,2035000,PI,3103,5682,7.9,Boroondara City Council
Balwyn,3,h,,SP,3103,5682,7.9,Boroondara City Council
Balwyn,4,h,2650000,S,3103,5682,7.9,Boroondara City Council
Balwyn,3,h,,PI,3103,5682,7.9,Boroondara City Council
Balwyn,2,h,,PI,3103,5682,7.9,Boroondara City Council
Balwyn,4,h,,PN,3103,5682,7.9,Boroondara City Council
Balwyn,4,h,2200000,VB,3103,5682,7.9,Boroondara City Council
Balwyn North,3,u,1910000,S,3104,7809,9.7,Boroondara City Council
Balwyn North,3,u,,S,3104,7809,9.7,Boroondara City Council
Balwyn North,4,h,1600000,VB,3104,7809,9.7,Boroondara City Council
Balwyn North,4,h,1760000,PI,3104,7809,9.7,Boroondara City Council
Balwyn North,3,h,1750000,PI,3104,7809,9.7,Boroondara City Council
Balwyn North,3,h,2100000,PI,3104,7809,9.7,Boroondara City Council
Bayswater,2,t,646000,S,3153,5030,23.2,Knox City Council
Bayswater,3,h,743000,S,3153,5030,23.2,Knox City Council
Bayswater North,3,h,807000,S,3153,3598,23.2,Maroondah City Council
Beaumaris,4,t,1820000,PI,3193,5366,17.3,Bayside City Council
Beaumaris,4,h,1990000,S,3193,5366,17.3,Bayside City Council
Beaumaris,6,h,1900000,VB,3193,5366,17.3,Bayside City Council
Bentleigh,3,h,1300000,VB,3204,6795,11.4,Glen Eira City Council
Bentleigh,3,t,1160000,S,3204,6795,11.4,Glen Eira City Council
Bentleigh,2,h,777500,S,3204,6795,11.4,Glen Eira City Council
Bentleigh,2,h,1750000,VB,3204,6795,11.4,Glen Eira City Council
Bentleigh,3,t,1200000,PI,3204,6795,11.4,Glen Eira City Council
Bentleigh East,3,h,1200000,SP,3165,10969,13.8,Glen Eira City Council
Bentleigh East,2,t,850000,S,3165,10969,13.8,Glen Eira City Council
Bentleigh East,2,u,586000,S,3165,10969,13.8,Glen Eira City Council
Bentleigh East,5,h,,PN,3165,10969,13.8,Glen Eira City Council
Bentleigh East,2,u,927500,S,3165,10969,13.8,Glen Eira City Council
Bentleigh East,4,h,,S,3165,10969,13.8,Glen Eira City Council
Bentleigh East,3,h,1240000,S,3165,10969,13.8,Glen Eira City Council
Bentleigh East,5,h,,S,3165,10969,13.8,Glen Eira City Council
Bentleigh East,4,t,1250000,PI,3165,10969,13.8,Glen Eira City Council
Bentleigh East,3,h,1200000,PI,3165,10969,13.8,Glen Eira City Council
Bentleigh East,3,h,1430000,SP,3165,10969,13.8,Glen Eira City Council
Berwick,4,h,800000,PI,3806,17093,35.2,Casey City Council
Blackburn,3,h,1050000,S,3130,5713,13.4,Whitehorse City Council
Blackburn North,3,t,,PN,3130,2867,13.4,Whitehorse City Council
Blackburn North,3,h,1030000,S,3130,2867,13.4,Whitehorse City Council
Blackburn South,4,h,1250000,VB,3130,4387,13.4,Whitehorse City Council
Blackburn South,3,h,,SN,3130,4387,13.4,Whitehorse City Council
Blackburn South,4,h,,SN,3130,4387,13.4,Whitehorse City Council
Blackburn South,3,h,,VB,3130,4387,13.4,Whitehorse City Council
Bonbeach,2,t,575000,S,3196,2887,27,Kingston City Council
Boronia,3,h,735000,VB,3155,9704,25,Knox City Council
Box Hill,3,h,1202000,S,3128,4605,10.9,Whitehorse City Council
Braybrook,3,h,825000,S,3019,3589,8.6,Maribyrnong City Council
Braybrook,3,t,700000,S,3019,3589,8.6,Maribyrnong City Council
Brighton,3,t,2650000,VB,3186,10579,10.5,Bayside City Council
Brighton,4,h,2520000,VB,3186,10579,10.5,Bayside City Council
Brighton,2,u,585000,S,3186,10579,10.5,Bayside City Council
Brighton,4,h,,VB,3186,10579,10.5,Bayside City Council
Brighton,3,h,2360000,PI,3186,10579,10.5,Bayside City Council
Brighton,2,h,,SN,3186,10579,10.5,Bayside City Council
Brighton,1,u,437000,S,3186,10579,10.5,Bayside City Council
Brighton,2,u,637000,PI,3186,10579,10.5,Bayside City Council
Brighton,4,h,3520000,S,3186,10579,10.5,Bayside City Council
Brighton,4,h,,S,3186,10579,10.5,Bayside City Council
Brighton,3,t,1875000,S,3186,10579,10.5,Bayside City Council
Brighton,1,u,,S,3186,10579,10.5,Bayside City Council
Brighton,3,h,,S,3186,10579,10.5,Bayside City Council
Brighton,4,h,,S,3186,10579,10.5,Bayside City Council
Brighton East,4,h,,S,3187,6938,10.3,Bayside City Council
Brighton East,5,h,2375000,PI,3187,6938,10.3,Bayside City Council
Brighton East,2,t,900000,VB,3187,6938,10.3,Bayside City Council
Brighton East,2,h,1352000,S,3187,6938,10.3,Bayside City Council
Brighton East,5,h,,VB,3187,6938,10.3,Bayside City Council
Brighton East,3,t,,PN,3187,6938,10.3,Bayside City Council
Brighton East,3,t,985000,SP,3187,6938,10.3,Bayside City Council
Brighton East,4,h,1776000,S,3187,6938,10.3,Bayside City Council
Brighton East,4,h,2100000,PI,3187,6938,10.3,Bayside City Council
Broadmeadows,3,h,500000,PI,3047,4294,14,Hume City Council
Broadmeadows,3,h,438000,SP,3047,4294,14,Hume City Council
Broadmeadows,3,h,,PI,3047,4294,14,Hume City Council
Broadmeadows,2,t,400000,S,3047,4294,14,Hume City Council
Brunswick,3,h,1025000,PI,3056,11918,5.2,Moreland City Council
Brunswick,2,u,442500,S,3056,11918,5.2,Moreland City Council
Brunswick,3,h,1310000,SP,3056,11918,5.2,Moreland City Council
Brunswick,3,h,1260000,S,3056,11918,5.2,Moreland City Council
Brunswick,4,h,1450000,PI,3056,11918,5.2,Moreland City Council
Brunswick,3,h,1250000,PI,3056,11918,5.2,Moreland City Council
Brunswick,1,u,340000,S,3056,11918,5.2,Moreland City Council
Brunswick East,2,h,1065000,S,3057,5533,4,Moreland City Council
Brunswick East,3,h,1450000,VB,3057,5533,4,Moreland City Council
Brunswick East,2,h,1045000,S,3057,5533,4,Moreland City Council
Brunswick West,4,h,1816000,S,3055,7082,5.2,Moreland City Council
Brunswick West,2,t,700000,SP,3055,7082,5.2,Moreland City Council
Brunswick West,1,u,322000,PI,3055,7082,5.2,Moreland City Council
Brunswick West,3,h,1130000,S,3055,7082,5.2,Moreland City Council
Brunswick West,2,t,556000,S,3055,7082,5.2,Moreland City Council
Bulleen,2,u,743000,S,3105,4480,10.8,Manningham City Council
Bulleen,4,h,,SP,3105,4480,10.8,Manningham City Council
Bulleen,4,h,,S,3105,4480,10.8,Manningham City Council
Bundoora,3,h,755000,SP,3083,10175,12.1,Banyule City Council
Bundoora,4,h,770000,PI,3083,10175,12.1,Banyule City Council
Bundoora,4,h,,PI,3083,10175,12.1,Banyule City Council
Bundoora,5,h,,PI,3083,10175,12.1,Banyule City Council
Bundoora,3,t,606000,S,3083,10175,12.1,Banyule City Council
Burnside,5,h,,SP,3023,1607,14.8,Melton City Council
Burnside,3,h,,PI,3023,1607,14.8,Melton City Council
Burwood,4,h,,PI,3125,5678,10.4,Monash City Council
Burwood,4,h,1500000,VB,3125,5678,10.4,Monash City Council
Burwood,3,h,,VB,3125,5678,10.4,Monash City Council
Burwood,4,h,,VB,3125,5678,10.4,Monash City Council
Burwood,6,h,,PI,3125,5678,10.4,Monash City Council
Burwood East,4,h,,VB,3151,4048,14.7,Whitehorse City Council
Burwood East,4,h,,PN,3151,4048,14.7,Whitehorse City Council
Cairnlea,3,h,640000,S,3023,2674,14.8,Brimbank City Council
Camberwell,5,h,1660000,S,3124,8920,7.7,Boroondara City Council
Camberwell,3,h,1300000,S,3124,8920,7.7,Boroondara City Council
Camberwell,3,h,1665000,S,3124,8920,7.7,Boroondara City Council
Camberwell,3,h,2210000,S,3124,8920,7.7,Boroondara City Council
Camberwell,3,h,1220000,VB,3124,8920,7.7,Boroondara City Council
Camberwell,3,h,1625000,S,3124,8920,7.7,Boroondara City Council
Camberwell,4,h,,S,3124,8920,7.7,Boroondara City Council
Camberwell,4,h,,S,3124,8920,7.7,Boroondara City Council
Camberwell,5,h,3460000,S,3124,8920,7.7,Boroondara City Council
Camberwell,4,h,,SP,3124,8920,7.7,Boroondara City Council
Camberwell,4,h,,SP,3124,8920,7.7,Boroondara City Council
Camberwell,3,h,1200000,S,3124,8920,7.7,Boroondara City Council
Campbellfield,4,h,620000,S,3061,1889,16.6,Hume City Council
Canterbury,4,h,,SP,3126,3265,8.4,Boroondara City Council
Canterbury,5,h,5200000,PI,3126,3265,8.4,Boroondara City Council
Carlton,4,h,2150000,VB,3053,6786,1.6,Melbourne City Council
Carlton,2,u,1616000,S,3053,6786,1.6,Melbourne City Council
Carlton,2,u,532500,S,3053,6786,1.6,Melbourne City Council
Carlton North,3,h,1770000,SP,3054,3106,3.5,Melbourne City Council
Caroline Springs,3,h,582500,S,3023,7719,14.8,Melton City Council
Carrum,3,h,850000,PI,3197,1989,31.2,Kingston City Council
Caulfield,4,h,,SN,3162,2379,8.7,Glen Eira City Council
Caulfield North,2,u,422000,S,3161,6923,7.8,Glen Eira City Council
Caulfield South,4,h,2040000,S,3162,5051,8.7,Glen Eira City Council
Caulfield South,3,h,1352000,S,3162,5051,8.7,Glen Eira City Council
Caulfield South,3,t,,SN,3162,5051,8.7,Glen Eira City Council
Caulfield South,4,h,,PN,3162,5051,8.7,Glen Eira City Council
Chelsea,3,h,911000,S,3196,3906,27,Kingston City Council
Chelsea Heights,4,h,842490,SP,3196,2076,27,Kingston City Council
Chelsea Heights,3,h,745500,S,3196,2076,27,Kingston City Council
Chelsea Heights,4,h,686000,S,3196,2076,27,Kingston City Council
Cheltenham,3,h,1800000,VB,3192,9758,17.9,Bayside City Council
Cheltenham,2,u,690000,PI,3192,9758,17.9,Bayside City Council
Cheltenham,3,h,1155500,S,3192,9758,17.9,Bayside City Council
Cheltenham,3,h,,SP,3192,9758,17.9,Bayside City Council
Cheltenham,3,h,1070000,PI,3192,9758,17.9,Bayside City Council
Cheltenham,5,h,950000,VB,3192,9758,17.9,Bayside City Council
Cheltenham,4,h,1120000,SP,3192,9758,17.9,Bayside City Council
Cheltenham,4,h,1150000,PI,3192,9758,17.9,Bayside City Council
Cheltenham,3,h,890000,S,3192,9758,17.9,Bayside City Council
Cheltenham,4,h,1715000,S,3192,9758,17.9,Bayside City Council
Clarinda,3,t,,SP,3169,2727,17.5,Kingston City Council
Clayton South,3,h,,PI,3169,4734,17.5,Kingston City Council
Clayton South,2,u,385000,S,3169,4734,17.5,Kingston City Council
Clayton South,3,h,860000,S,3169,4734,17.5,Kingston City Council
Clifton Hill,4,h,1600000,VB,3068,2954,3.6,Yarra City Council
Clifton Hill,4,h,1600000,VB,3068,2954,3.6,Yarra City Council
Clifton Hill,3,h,1337500,S,3068,2954,3.6,Yarra City Council
Clifton Hill,2,t,,SP,3068,2954,3.6,Yarra City Council
Clifton Hill,3,h,890000,S,3068,2954,3.6,Yarra City Council
Coburg,2,t,680000,PI,3058,11204,6.7,Darebin City Council
Coburg,5,h,1360000,PI,3058,11204,6.7,Darebin City Council
Coburg,3,h,1270000,SP,3058,11204,6.7,Darebin City Council
Coburg,2,h,1080000,S,3058,11204,6.7,Darebin City Council
Coburg,3,h,1050000,PI,3058,11204,6.7,Darebin City Council
Coburg,4,h,900000,VB,3058,11204,6.7,Darebin City Council
Coburg North,3,h,1001000,S,3058,3445,6.7,Darebin City Council
Coburg North,3,h,765000,S,3058,3445,6.7,Darebin City Council
Coburg North,3,h,952000,S,3058,3445,6.7,Darebin City Council
Coburg North,2,u,652000,S,3058,3445,6.7,Darebin City Council
Collingwood,2,h,1126000,S,3066,4553,2,Yarra City Council
Collingwood,2,h,1090000,PI,3066,4553,2,Yarra City Council
Collingwood,1,u,450000,PI,3066,4553,2,Yarra City Council
Craigieburn,3,h,,SN,3064,15510,20.6,Hume City Council
Craigieburn,4,h,560000,SP,3064,15510,20.6,Hume City Council
Craigieburn,4,h,556000,PI,3064,15510,20.6,Hume City Council
Craigieburn,4,h,634000,S,3064,15510,20.6,Hume City Council
Craigieburn,4,h,515000,S,3064,15510,20.6,Hume City Council
Craigieburn,3,h,610000,S,3064,15510,20.6,Hume City Council
Craigieburn,3,h,,PI,3064,15510,20.6,Hume City Council
Craigieburn,3,h,530000,S,3064,15510,20.6,Hume City Council
Craigieburn,3,h,471500,S,3064,15510,20.6,Hume City Council
Craigieburn,4,h,,PI,3064,15510,20.6,Hume City Council
Craigieburn,3,h,515000,SP,3064,15510,20.6,Hume City Council
Craigieburn,3,h,580000,PI,3064,15510,20.6,Hume City Council
Craigieburn,4,h,565100,SP,3064,15510,20.6,Hume City Council
Craigieburn,3,h,,PI,3064,15510,20.6,Hume City Council
Craigieburn,3,h,516000,S,3064,15510,20.6,Hume City Council
Cranbourne West,4,h,825000,VB,3977,4939,34.7,Casey City Council
Cremorne,2,h,1236000,SP,3121,1123,2.4,Yarra City Council
Croydon,3,h,1000000,S,3136,11925,23,Maroondah City Council
Croydon,3,h,850000,S,3136,11925,23,Maroondah City Council
Croydon,3,h,,PI,3136,11925,23,Maroondah City Council
Croydon,3,h,,PI,3136,11925,23,Maroondah City Council
Croydon,2,u,523500,S,3136,11925,23,Maroondah City Council
Croydon,3,h,915000,SP,3136,11925,23,Maroondah City Council
Croydon,4,h,775000,S,3136,11925,23,Maroondah City Council
Croydon,3,h,720000,PI,3136,11925,23,Maroondah City Council
Croydon North,4,h,1001800,SP,3136,2985,23,Maroondah City Council
Dandenong,2,u,,SP,3175,10894,24.7,Greater Dandenong City Council
